  time(s)      time(days)   fissrate     neuflue1     neuflue2     dpa(dpa)     bup(Mwd/kgM) bupave       bup(FIMA)    bup2(FIMA)   bupave(FIMA) temfi(c)     temfo(c)     temci(c)     temco(c)     tfave(c)     tcave(c)     hgap(w/m2/k) rfi(mm)      rfo(mm)      rci(mm)      rco(mm)      gap(mkm)     gapth(mkm)   gpres(mPa)   pfc(mpa)     htc(w/m2-k)  fgrpp(%)     efs(%)       eh(%)        et(%)        efh(%)       efz(%)       ez(%)        dlfuel(%)    dlfuelp(%)   dlclad(%)    ecef(%)      swclose(-)   swopen(-)    swsol(-)     swtot(-)     efsz(-)      efsh(-)      efsr(-)      xwast(m)     phstrain(%)  tchstrain(%)   sigh(MPa)  gap_state    
  2.10000E+06  2.43056E+01  3.04459E+19  1.10295E+01  6.03708E-01  2.41483E+00  1.53833E+00  1.53833E+00  1.67351E-03  1.82743E-03  1.67351E-03  7.49949E+02  5.86683E+02  5.69998E+02  5.38331E+02  6.68748E+02  5.53574E+02  1.06928E+05  0.00000E+00  3.94020E+00  4.53039E+00  5.05787E+00  5.90194E+02  5.92194E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  2.40891E+00  6.53002E-01  6.76114E-01  3.87021E+00  1.95261E+00  6.57810E-01  1.25748E+00  1.34673E-01  5.46096E-01  0.00000E+00  6.97571E-02  0.00000E+00  2.51026E-03  7.22673E-02  2.40891E-02  2.40891E-02  2.40891E-02  0.00000E+00  6.54459E-01  0.00000E+00 -9.98596E+00       open
  2.20000E+06  2.54630E+01  3.04459E+19  1.10309E+01  6.32456E-01  2.52983E+00  1.61158E+00  1.61158E+00  1.75320E-03  1.91445E-03  1.75320E-03  7.50672E+02  5.86551E+02  5.69998E+02  5.38331E+02  6.68825E+02  5.53574E+02  1.07783E+05  0.00000E+00  3.94487E+00  4.53039E+00  5.05787E+00  5.85520E+02  5.87520E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  2.70197E+00  6.52976E-01  6.76114E-01  4.15508E+00  2.06532E+00  6.57807E-01  1.28841E+00  1.65506E-01  5.46093E-01  0.00000E+00  7.84293E-02  0.00000E+00  2.62979E-03  8.10591E-02  2.70197E-02  2.70197E-02  2.70197E-02  0.00000E+00  6.54437E-01  0.00000E+00 -9.90878E+00       open
  2.30000E+06  2.66204E+01  3.04459E+19  1.10323E+01  6.61204E-01  2.64482E+00  1.68483E+00  1.68483E+00  1.83289E-03  2.00147E-03  1.83289E-03  7.51457E+02  5.86409E+02  5.69998E+02  5.38331E+02  6.68918E+02  5.53574E+02  1.08712E+05  0.00000E+00  3.94986E+00  4.53039E+00  5.05787E+00  5.80529E+02  5.82528E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  2.98933E+00  6.52953E-01  6.76114E-01  4.43301E+00  2.18551E+00  6.57804E-01  1.32243E+00  1.99415E-01  5.46091E-01  0.00000E+00  8.69306E-02  0.00000E+00  2.74933E-03  8.96799E-02  2.98933E-02  2.98933E-02  2.98933E-02  0.00000E+00  6.54418E-01  0.00000E+00 -9.84021E+00       open
  2.40000E+06  2.77778E+01  3.04459E+19  1.10337E+01  6.89952E-01  2.75981E+00  1.75809E+00  1.75809E+00  1.91258E-03  2.08849E-03  1.91258E-03  7.52301E+02  5.86260E+02  5.69998E+02  5.38331E+02  6.69029E+02  5.53574E+02  1.09712E+05  0.00000E+00  3.95514E+00  4.53039E+00  5.05787E+00  5.75252E+02  5.77252E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  3.26840E+00  6.52933E-01  6.76114E-01  4.70177E+00  2.31244E+00  6.57802E-01  1.35955E+00  2.36405E-01  5.46089E-01  0.00000E+00  9.51832E-02  0.00000E+00  2.86887E-03  9.80521E-02  3.26840E-02  3.26840E-02  3.26840E-02  0.00000E+00  6.54400E-01  0.00000E+00 -9.77889E+00       open
  2.50000E+06  2.89352E+01  3.04459E+19  1.10351E+01  7.18700E-01  2.87480E+00  1.83134E+00  1.83134E+00  1.99227E-03  2.17551E-03  1.99227E-03  7.53200E+02  5.86103E+02  5.69998E+02  5.38331E+02  6.69161E+02  5.53574E+02  1.10779E+05  0.00000E+00  3.96066E+00  4.53039E+00  5.05787E+00  5.69723E+02  5.71723E+02  1.01003E-01  0.00000E+00  1.33276E+05  3.17618E-03  3.53648E+00  6.52914E-01  6.76114E-01  4.95904E+00  2.44537E+00  6.57800E-01  1.39976E+00  2.76457E-01  5.46087E-01  0.00000E+00  9.98173E-02  3.28863E-03  2.98840E-03  1.06094E-01  3.53648E-02  3.53648E-02  3.53648E-02  0.00000E+00  6.54384E-01  0.00000E+00 -9.72364E+00       open
  2.60000E+06  3.00926E+01  3.04459E+19  1.10366E+01  7.47448E-01  2.98979E+00  1.90459E+00  1.90459E+00  2.07196E-03  2.26253E-03  2.07196E-03  7.54146E+02  5.85941E+02  5.69998E+02  5.38331E+02  6.69313E+02  5.53574E+02  1.11907E+05  0.00000E+00  3.96640E+00  4.53039E+00  5.05787E+00  5.63991E+02  5.65991E+02  1.01027E-01  0.00000E+00  1.33276E+05  2.61788E-02  3.78467E+00  6.52898E-01  6.76114E-01  5.19663E+00  2.58320E+00  6.57798E-01  1.44299E+00  3.19513E-01  5.46086E-01  0.00000E+00  9.90620E-02  1.13702E-02  3.10794E-03  1.13540E-01  3.78467E-02  3.78467E-02  3.78467E-02  0.00000E+00  6.54370E-01  0.00000E+00 -9.67336E+00       open
  2.70000E+06  3.12500E+01  3.04459E+19  1.10380E+01  7.76196E-01  3.10479E+00  1.97785E+00  1.97785E+00  2.15165E-03  2.34955E-03  2.15165E-03  7.55132E+02  5.85774E+02  5.69998E+02  5.38331E+02  6.69487E+02  5.53574E+02  1.13090E+05  0.00000E+00  3.97228E+00  4.53039E+00  5.05787E+00  5.58106E+02  5.60106E+02  1.01086E-01  0.00000E+00  1.33276E+05  8.13657E-02  4.01383E+00  6.52883E-01  6.76114E-01  5.41574E+00  2.72483E+00  6.57796E-01  1.48915E+00  3.65477E-01  5.46084E-01  0.00000E+00  9.95714E-02  1.76161E-02  3.22747E-03  1.20415E-01  4.01383E-02  4.01383E-02  4.01383E-02  0.00000E+00  6.54357E-01  0.00000E+00 -9.62712E+00       open
  2.80000E+06  3.24074E+01  3.04459E+19  1.10394E+01  8.04944E-01  3.21978E+00  2.05110E+00  2.05110E+00  2.23134E-03  2.43658E-03  2.23134E-03  7.56151E+02  5.85604E+02  5.69998E+02  5.38331E+02  6.69683E+02  5.53574E+02  1.14320E+05  0.00000E+00  3.97828E+00  4.53039E+00  5.05787E+00  5.52109E+02  5.54109E+02  1.01186E-01  0.00000E+00  1.33276E+05  1.69695E-01  4.22691E+00  6.52869E-01  6.76114E-01  5.61946E+00  2.86938E+00  6.57794E-01  1.53812E+00  4.14230E-01  5.46083E-01  0.00000E+00  9.95481E-02  2.39120E-02  3.34701E-03  1.26807E-01  4.22691E-02  4.22691E-02  4.22691E-02  0.00000E+00  6.54346E-01  0.00000E+00 -9.58421E+00       open
  2.90000E+06  3.35648E+01  3.04459E+19  1.10408E+01  8.33692E-01  3.33477E+00  2.12436E+00  2.12436E+00  2.31103E-03  2.52360E-03  2.31103E-03  7.57198E+02  5.85432E+02  5.69998E+02  5.38331E+02  6.69902E+02  5.53574E+02  1.15595E+05  0.00000E+00  3.98436E+00  4.53039E+00  5.05787E+00  5.46030E+02  5.48030E+02  1.01345E-01  0.00000E+00  1.33276E+05  3.04268E-01  4.42645E+00  6.52857E-01  6.76114E-01  5.81040E+00  3.01625E+00  6.57793E-01  1.58978E+00  4.65641E-01  5.46082E-01  0.00000E+00  9.91085E-02  3.02184E-02  3.46655E-03  1.32793E-01  4.42645E-02  4.42645E-02  4.42645E-02  0.00000E+00  6.54335E-01  0.00000E+00 -9.54390E+00       open
  3.00000E+06  3.47222E+01  3.04459E+19  1.10422E+01  8.62440E-01  3.44976E+00  2.19761E+00  2.19761E+00  2.39072E-03  2.61062E-03  2.39072E-03  7.58267E+02  5.85259E+02  5.69998E+02  5.38331E+02  6.70142E+02  5.53574E+02  1.16911E+05  0.00000E+00  3.99049E+00  4.53038E+00  5.05787E+00  5.39898E+02  5.41898E+02  1.01559E-01  0.00000E+00  1.33276E+05  4.76844E-01  4.61465E+00  6.52847E-01  6.76114E-01  5.99074E+00  3.16477E+00  6.57792E-01  1.64398E+00  5.19572E-01  5.46082E-01  0.00000E+00  9.93339E-02  3.55193E-02  3.58608E-03  1.38439E-01  4.61465E-02  4.61465E-02  4.61465E-02  0.00000E+00  6.54326E-01  0.00000E+00 -9.50577E+00       open
  3.10000E+06  3.58796E+01  3.04459E+19  1.10436E+01  8.91188E-01  3.56475E+00  2.27086E+00  2.27086E+00  2.47041E-03  2.69764E-03  2.47041E-03  7.59359E+02  5.85083E+02  5.69998E+02  5.38331E+02  6.70405E+02  5.53574E+02  1.18268E+05  0.00000E+00  3.99667E+00  4.53038E+00  5.05787E+00  5.33712E+02  5.35712E+02  1.01824E-01  0.00000E+00  1.33276E+05  6.78908E-01  4.79354E+00  6.52837E-01  6.76114E-01  6.16251E+00  3.31501E+00  6.57791E-01  1.70061E+00  5.75905E-01  5.46081E-01  0.00000E+00  9.92907E-02  4.08099E-02  3.70562E-03  1.43806E-01  4.79354E-02  4.79354E-02  4.79354E-02  0.00000E+00  6.54318E-01  0.00000E+00 -9.46946E+00       open
  3.20000E+06  3.70370E+01  3.04459E+19  1.10450E+01  9.19936E-01  3.67975E+00  2.34412E+00  2.34412E+00  2.55010E-03  2.78466E-03  2.55010E-03  7.60468E+02  5.84908E+02  5.69998E+02  5.38331E+02  6.70687E+02  5.53574E+02  1.19660E+05  0.00000E+00  4.00287E+00  4.53038E+00  5.05787E+00  5.27511E+02  5.29511E+02  1.02159E-01  0.00000E+00  1.33276E+05  9.24379E-01  4.96464E+00  6.52829E-01  6.76114E-01  6.32716E+00  3.46605E+00  6.57790E-01  1.75952E+00  6.34487E-01  5.46080E-01  0.00000E+00  1.00026E-01  4.50877E-02  3.82515E-03  1.48939E-01  4.96464E-02  4.96464E-02  4.96464E-02  0.00000E+00  6.54311E-01  0.00000E+00 -9.43445E+00       open
